지역,시설명,시설녹지여부,강수량,집수면적(제곱미터),건물 높이(층수),평균풍속(m/s),단위면적당 인구(명/1제곱미터),땅의 면적(제곱미터),빗물사용목표량(mm/1년),빗물 이용 예측량(mm/1년),빗물목표량대비사용량,빗물 이용시설 설치 적합여부[0/1],lat,lon
종로구,그랑서울,0,1069.0,4000.0,24,2.4,0.00665,11522.7,279.6847358,74.44835315,26.618668672443153,0,37.5706922,126.9815134
중구,서울광장,1,1011.0,6294.2,0,1.9,0.013517,13207.0,414.09197,307.79426748940006,74.32992904677674,0,37.5655675,126.978014
성동구,성동도로사업소,1,1065.5,600.0,3,2.0,0.017822,2838.0,1230.751676,268.68903749339995,21.831295681566875,1,37.5593982,127.0565454
광진구,스타시티,0,1092.0,15419.671,58,2.4,0.05058,37595.0,1800.473205,220.01898125579996,12.220064183393385,0,37.537559,127.0725703
중구,DDP,0,1106.0,24000.0,4,1.7,0.025141,62108.7,949.8971862,128.8406062912,13.563637008613345,0,37.5668817,127.009895
중랑구,목동리본타워,0,900.5,3220.0,29,2.4,0.021603,5091.0,498.6710391,64.663688784,12.967203569853353,0,37.6190186,127.08621
성북구,한국과학기술원,1,1099.5,2800.0,4,1.7,0.01819,2211.0,209.7086121,162.22783750940002,77.35869113093044,1,37.6006519,127.045298
영등포구,국회,1,1047.5,18208.0,7,1.0,0.016595,452528.0,6021.619702,401.41134772,6.666169030679181,0,37.5310452,126.915365
서초구,호반건설 신사옥,0,1080.5,2654.0,10,1.5,0.009132,6950.0,349.1424416,969.1984621522,277.593997942701,1,37.4597213,127.0235526
송파구,문정역테라타워,0,1174.5,9793.0,16,1.6,0.019896,15448.0,458.2211536,86.650960592,18.910292532596866,0,37.484765,127.1211569
송파구,순명빌딩,0,1174.5,242.0,7,1.6,0.019896,288.0,345.6971107,71.088084286,20.56369060824783,1,37.50448197,127.0885827
송파구,향군타워,0,1174.5,3528.0,30,1.6,0.019896,2992.78,246.413697,459.139533362,186.32873860173447,1,37.51657454,127.1012376
성북구,석관 래미안 아파트,0,1762.5,2062.7,20,1.7,0.01801587,26424.0,3369.539775,406.530596464,12.0648700893878,1,37.60783282,127.0542132
성북구,센트럴타운 근린상가,0,1762.5,1433.0,6,1.7,0.01801587,2846.0,522.3923405,253.4576647004,48.51864107689764,1,37.62294694,127.0483969
성북구,숭례초등학교,0,1762.5,2347.0,5,1.7,0.01801587,8354.0,936.2449248,253.4576647004,27.071726423995667,1,37.59450466,127.0352877
송파구,동남권유통단지 나 블록(가든파이브웍스),0,1605.5,8001.61,10,1.6,0.01995751,13355.7,486.3495144,243.4832173004,50.06342354444017,1,37.47771784,127.1227464
송파구,아산병원신관,0,1605.5,35000.0,14,1.6,0.01995751,138845.3,1155.905553,177.27459660619996,15.336425726661421,1,37.52541192,127.1070973
송파구,잠실더샵스타파크,0,1605.5,4434.6,41,1.6,0.01995751,11590.0,761.5320654,737.172736564,96.80127338785071,1,37.51691297,127.1022357
송파구,송파파크데일 1단지,0,1605.5,9134.11,15,1.6,0.01995751,38840.0,1239.002536,177.27459660619996,14.307847761031537,1,37.49847798,127.1598324
송파구,송파파크데일 2단지,0,1605.5,9167.83,15,1.6,0.01995751,41867.0,1330.652034,177.27459660619996,13.322385723433989,1,37.49591867,127.1581531
송파구,한국루터회관,0,1605.5,1485.54,24,1.6,0.01995751,2972.5,583.0378164,406.53059646400004,69.72628276054994,1,37.51525276,127.1030684
송파구,문현고등학교,0,1605.5,3075.05,6,1.6,0.01995751,10904.0,1033.220162,318.4780173204,30.82382913472414,1,37.48131351,127.1287619
송파구,송파파인타운 12단지,0,1605.5,1786.36,20,1.6,0.01995751,8528.0,1391.03295,271.4477058462,19.514110420331882,1,37.47860309,127.1325077
송파구,송파파인타운 13단지,0,1605.5,2509.85,15,1.6,0.01995751,12111.0,1406.019839,177.27459660619996,12.608257130445793,1,37.47671085,127.1280976
양천구,성문교회비전센타,0,1490.5,900.0,3,1.4,0.0263162,1904.0,812.8313934,549.9123938724,67.65393147183529,1,37.54555951,126.8783157
양천구,KT ICC 목동센터,0,1490.5,3450.0,12,1.4,0.0263162,6611.57,736.3114253,177.27459660620002,24.076035019281676,1,37.52784704,126.8716552
양천구,장수초등학교,0,1490.5,1750.0,6,1.4,0.0263162,8861.2,1945.496815,549.9123938724,28.265910775721316,1,37.51299579,126.8451589
양천구,신정이펜하우스 1단지,0,1490.5,3339.0,12,1.4,0.0263162,34958.9,4022.697485,177.27459660620002,4.406858762490315,1,37.51602871,126.8274933
양천구,신정이펜하우스 2단지,0,1490.5,10343.0,7,1.4,0.0263162,51364.0,1908.04383,549.9123938724,28.820742229616393,1,37.51662076,126.8315975
양천구,신정이펜하우스 3단지,0,1490.5,5465.77,15,1.4,0.0263162,63100.0,4435.617015,262.78309443380004,5.924386473068845,1,37.51375942,126.8313566
양천구,신정이펜하우스 4단지,0,1490.5,3560.73,12,1.4,0.0263162,33797.0,3646.826838,177.27459660620002,4.861064275358391,1,37.51029475,126.8304223
양천구,신월종합사회복지관,0,1490.5,1183.69,4,1.4,0.0263162,2419.6,785.3832437,549.9123938724,70.01835069484306,1,37.52003313,126.8473669
영등포구,영등포여자고등학교,0,1437.0,3559.03,6,1.0,0.0149767,12933.0,794.5781441,429.66390336200004,54.0744678861851,1,37.51538856,126.9153566
영등포구,성원빌딩,0,1437.0,109.04,8,1.0,0.0149767,193.0,387.0262771,429.66390336200004,111.01672645627194,1,37.52330666,126.897017
영등포구,아하바호텔,0,1437.0,179.22,15,1.0,0.0149767,358.0,436.782812,447.74996430199997,102.51089374414302,1,37.51861689,126.9064403
영등포구,롯지호텔,0,1437.0,184.95,18,1.0,0.0149767,215.6,254.896227,134.135919422,52.62373672639728,1,37.51836766,126.9106682
영등포구,더리치,0,1437.0,79.09,10,1.0,0.0149767,160.0,442.351387,447.74996430199997,101.22042734817964,1,37.52341088,126.9013805
영등포구,당산2동주민센터,0,1437.0,477.4,5,1.0,0.0149767,800.0,366.4177964,429.66390336200004,117.26065370824878,1,37.53101308,126.8973488
영등포구,코레일유통본사사옥,0,1437.0,3426.07,21,1.0,0.0149767,6348.56,405.1799837,159.935919422,39.47280859274096,1,37.52579475,126.9020539
용산구,국립중앙박물관,1,1447.0,4600.0,6,1.9,0.01045588,295550.9,9808.168101,77.0949106594,0.7860276237673753,1,37.52465066,126.9825451
용산구,한국폴리텍대학 서울정수캠퍼스,1,1447.0,1271.0,8,1.9,0.01045588,31956.0,3838.135546,77.0949106594,2.008655237299949,1,37.52923208,126.9971127
용산구,파크타워,1,1447.0,2983.0,40,1.9,0.01045588,23248.3,1189.738167,549.117714346,46.15450101349904,1,37.52403463,126.971461
용산구,대우 월드마크용산,0,1447.0,700.0,37,1.9,0.01045588,5355.1,1167.839045,435.597977968,37.299487445035716,1,37.53723114,126.9726288
용산구,원불교 서울수도원,1,1447.0,221.0,10,1.9,0.01045588,1694.1,1170.200326,343.347253495,29.34089538913699,1,37.53097791,126.9723045
용산구,루시드 하우스,1,1447.0,7320.0,3,1.9,0.01045588,3732.0,77.82945693,54.660501450999995,70.23112277419817,1,37.53551384,127.0128658
용산구,신계 e편한세상 ,0,1447.0,773.18,25,1.9,0.01045588,36949.5,7295.270514,124.90111801980001,1.7120834351530672,1,37.53672602,126.9665292
용산구,센트레빌 아스테리움 용산,0,1447.0,1430.0,36,1.9,0.01045588,2425.6,258.938479,435.597977968,168.22450631912457,1,37.52735887,126.9688616
